Theme,Ticker,Company,Reason,Direction,Role
Space,PL,Planet Labs,"Earth-observation data platform with slower-than-hyped revenue ramp and profitability uncertainty, useful as a short versus more established space operators.",Short,Core
AI Value Reset,ORCL,Oracle,"AI infra narrative supported the rerating, but latest results show cloud growth slowing and capex delays, making it a key name for AI capex deceleration.",Short,Core
AI Value Reset,AVGO,Broadcom,"AI chip segment is strong but offset by weaker legacy and memory businesses; market questions the durability of peak AI margins, making it a high-beta de-rating candidate.",Short,High-beta
AI Value Reset,ADBE,Adobe,"Generative AI tools threaten Creative Cloud pricing power and user growth, turning Adobe into a classic incumbent at risk of AI disruption.",Short,High-beta
AI Value Reset,INTC,Intel,"Demand is shifting toward GPUs and custom AI silicon while foundry investments compress margins, making Intel a relative loser in the AI infrastructure build-out.",Short,Core
AI Value Reset,DOCU,DocuSign,"LLMs and AI agents can automate drafting and contract workflows, undermining DocuSign’s seat-based model and long-term pricing power.",Short,High-beta
AI Value Reset,WDAY,Workday,"AI copilots and automation can reduce the need for human seats in HR and finance tools, exposing Workday’s growth and high multiple to downside risk.",Short,Core
AI Value Reset,CRM,Salesforce,"Einstein and AI add-ons have limited revenue impact versus expectations; if enterprise IT spend slows, Salesforce’s premium SaaS valuation is vulnerable.",Short,Core
AI Value Reset,SNOW,Snowflake,"Positioned as AI data infrastructure, but usage-based revenue is very sensitive to delayed AI workloads, making its rich multiple at risk in a slowdown.",Short,High-beta
AI Value Reset,MDB,MongoDB,Faces pressure from open-source and cloud-native databases; the AI story supports high multiples that can unwind quickly if growth normalizes.,Short,High-beta
AI Value Reset,PLTR,Palantir,"Retail investors treat Palantir as a combined defense, AI and big-data story; price is highly sensitive to headlines and narrative shifts.",Long,High-beta
EV Hangover,RIVN,Rivian,"High cash burn, heavy capex and scaling risk make Rivian very sensitive to higher rates and weaker EV demand.",Short,High-beta
EV Hangover,LCID,Lucid Group,"Luxury-only positioning and limited scale hurt economics, making the stock a favored short when EV sentiment deteriorates.",Short,High-beta
EV Hangover,ALB,Albemarle,"Lithium oversupply and lower prices have compressed margins and earnings, linking Albemarle to the downside of the EV raw materials cycle.",Short,Core
EV Hangover,LAC,Lithium Americas,"Pre-revenue, capital-intensive projects make it highly exposed to delayed EV capex and funding risk.",Short,High-beta
EV Hangover,STLA,Stellantis,More measured EV/hybrid roadmap and strong legacy cash flows provide downside protection versus aggressive pure-play EV makers.,Long,Defensive
EV Hangover,TM,Toyota,"Hybrid-first strategy has proven resilient in a high-rate, infrastructure-constrained environment, offering a rational transition path rather than pure EV risk.",Long,Defensive
EV Hangover,TSLA,Tesla,"High-margin EV business funds long-dated AI, Robotaxi and humanoid robot options, while maintaining one of the deepest global retail investor followings.",Long,Core
AI Energy & Grid,CEG,Constellation Energy,"Largest U.S. nuclear fleet with long-term contracts to hyperscalers, providing baseload power for AI data centers.",Long,Core
AI Energy & Grid,VST,Vistra Corp,Growing generation and retail portfolio with increasing exposure to data-center co-location and AI-driven power demand.,Long,Core
AI Energy & Grid,GEV,GE Vernova,"Key supplier of grid equipment and emerging small modular reactor solutions, leveraged to large-scale power and grid upgrades.",Long,Core
AI Energy & Grid,EOSE,Eos Energy,"Zinc-based long-duration storage is a high-risk, high-reward way to play renewable and data-center balancing needs.",Long,High-beta
AI Energy & Grid,OKLO,Oklo Inc,"Microreactor developer aligned with demand for distributed, reliable power near AI and HPC facilities, but still pre-revenue.",Long,High-beta
AI Energy & Grid,PWR,Quanta Services,"Engineering and construction leader in high-voltage transmission, substations and grid hardening, directly tied to data-center-driven grid investment.",Long,Core
AI Energy & Grid,NEE,NextEra Energy,Large renewable and transmission developer that offers lower-volatility exposure to rising global electricity demand from AI.,Long,Core
AI Energy & Grid,AES,AES Corp,"Actively invests in storage and high-voltage projects, positioning it as a beneficiary of the AI and data-center power build-out.",Long,Core
Crypto Companies,COIN,Coinbase Global,"Leading regulated U.S. crypto exchange and custodian, central to institutional and retail access to digital assets.",Long,Core
Crypto Companies,MSTR,MicroStrategy,"Acts as a levered listed proxy for Bitcoin via its balance sheet strategy, amplifying BTC upside and downside.",Long,High-beta
Crypto Companies,MARA,MARA Holdings,"North American miner pivoting toward HPC and AI hosting, providing exposure to both mining economics and compute infrastructure.",Long,High-beta
Crypto Companies,RIOT,Riot Platforms,"Large-scale miner that complements MARA in a pair trade, giving broader coverage of listed Bitcoin mining risk.",Long,High-beta
Retail Favorites & Flows,HOOD,Robinhood,"Core venue for U.S. retail trading, options flow and meme activity, making it a useful proxy for retail risk appetite.",Long,Sentiment-gauge
Retail Favorites & Flows,ARM,Arm Holdings,"Owns key CPU IP for mobile and emerging AI workloads; valuation depends heavily on the “AI on Arm” narrative, driving high volatility.",Long,High-beta
Retail Favorites & Flows,TSLA,Tesla,Iconic global retail favorite whose trading intensity often tracks overall speculative sentiment and liquidity conditions.,Long,Sentiment-gauge
Retail Favorites & Flows,SOFI,SoFi Technologies,High-growth fintech and neo-bank name frequently used by retail investors to express bullish views on digital finance.,Long,High-beta
Retail Favorites & Flows,GME,GameStop,Symbolic meme stock used to monitor extremes in retail speculation and social-media-driven trading regimes.,Long,Sentiment-gauge
Retail Favorites & Flows,AMC,AMC Entertainment,Another core meme stock whose price action reflects the strength or weakness of meme-style risk-taking.,Long,Sentiment-gauge
Datacenter Suppliers,VRT,Vertiv Holdings,"Leader in high-density racks and liquid cooling, directly leveraged to thermal challenges of AI GPU servers.",Long,Core
Datacenter Suppliers,ANET,Arista Networks,"Top supplier of high-speed switches and data-center networking, essential for scaling AI clusters across thousands of GPUs.",Long,Core
Datacenter Suppliers,ETN,Eaton Corp,"Provides transformers, switchgear and power distribution gear that connect the grid to racks in power-hungry data centers.",Long,Core
Datacenter Suppliers,JCI,Johnson Controls,Building automation and HVAC systems play a key role in cooling and managing next-generation high-density data centers.,Long,Core
Autonomous Driving,TSLA,Tesla,"Vertical integration of hardware, software and data positions Tesla as a leading end-to-end full self-driving and Robotaxi platform candidate.",Long,Core
Autonomous Driving,MBLY,Mobileye,"Computer-vision and ADAS supplier to many global OEMs, providing a leveraged way to play gradual adoption of higher-level driver assistance.",Long,Core
Autonomous Driving,AUR,Aurora Innovation,"Focused on Level 4 autonomous trucking, targeting long-haul freight where labor shortages and economics strongly favor autonomy.",Long,High-beta
Autonomous Driving,CRNC,Cerence,"Voice assistant and in-car AI software vendor capturing the shift toward intelligent, AI-driven cockpit experiences.",Long,High-beta
Neocloud Providers,IREN,IREN Limited,"Transitioning from crypto mining to purpose-built, high-density AI data centers, offering alternative cloud capacity for AI workloads.",Long,Core
Neocloud Providers,CORZ,Core Scientific,"Repurposes mining infrastructure into large-scale AI and HPC hosting, giving direct exposure to outsourced compute demand.",Long,Core
Open AI,MSFT,Microsoft,Core partner and Azure cloud provider.,Long,Core
Open AI,NVDA,NVIDIA,Primary GPU supplier for training clusters.,Long,Core
Open AI,ORCL,Oracle,Provides overflow cloud infrastructure capacity.,Long,Core
Open AI,AVGO,Broadcom,Partner for custom in-house AI inference chips.,Long,Core
Open AI,AMD,Advanced Micro Devices,Diversified supplier of AI accelerators (MI300).,Long,Core
Google Supplier,AVGO,Broadcom,Co-designer of Google's custom TPU chips.,Long,Core
Google Supplier,ANET,Arista Networks,Key supplier for high-speed data center networking.,Long,Core
Google Supplier,MRVL,Marvell Technology,Supplier of optical interconnects and custom silicon.,Long,Core
Google Supplier,VRT,Vertiv,Critical power and cooling infrastructure for high-density racks.,Long,Core
